PF,D.J. Wilson,5,"6' 9""",229,2/19/96,Milwaukee Bucks
PF,Kyle Korver,26,"6' 7""",211,3/17/81,Milwaukee Bucks
C,Brook Lopez,11,"6' 11""",268,1/4/88,Milwaukee Bucks
C,Robin Lopez,42,"6' 11""",273,1/4/88,Milwaukee Bucks
PG,D'Angelo Russell,0,"6' 3""",196,2/23/96,Minnesota Timberwolves
PG,Jordan McLaughlin,6,"5' 10""",169,9/4/96,Minnesota Timberwolves
PG,Evan Turner,1,"6' 5""",218,10/27/88,Minnesota Timberwolves
SG,Jarrett Culver,23,"6' 5""",194,2/20/99,Minnesota Timberwolves
SG,Josh Okogie,20,"6' 3""",211,1/9/98,Minnesota Timberwolves
SG,Malik Beasley,5,"6' 3""",196,11/26/96,Minnesota Timberwolves
SG,Jacob Evans,12,"6' 3""",209,6/18/97,Minnesota Timberwolves
SG,Allen Crabbe,9,"6' 5""",211,9/4/92,Minnesota Timberwolves
SG,Jaylen Nowell,4,"6' 3""",194,9/7/99,Minnesota Timberwolves
SF,Kelan Martin,30,"6' 5""",233,3/8/95,Minnesota Timberwolves
PF,Juan Hernangomez,41,"6' 9""",218,9/28/95,Minnesota Timberwolves
PF,Omari Spellman,4,"6' 7""",244,7/21/97,Minnesota Timberwolves
PF,Jarred Vanderbilt,3,"6' 9""",213,3/4/99,Minnesota Timberwolves
PF,James Johnson,16,"6' 7""",238,2/20/87,Minnesota Timberwolves
PF,Jake Layman,10,"6' 7""",207,7/3/94,Minnesota Timberwolves
C,Karl-Anthony Towns,24,"6' 11""",246,11/15/95,Minnesota Timberwolves
C,Naz Reid,11,"6' 9""",262,8/26/99,Minnesota Timberwolves
PG,Lonzo Ball,2,"6' 5""",189,10/27/97,New Orleans Pelicans
PG,Jrue Holiday,11,"6' 2""",202,12/6/90,New Orleans Pelicans
PG,E'Twaun Moore,55,"6' 2""",189,2/25/89,New Orleans Pelicans
PG,Frank Jackson,15,"6' 2""",202,4/5/98,New Orleans Pelicans
PG,J.J. Redick,4,"6' 2""",198,6/24/84,New Orleans Pelicans
PG,Josh Gray,5,"6' 0""",178,9/9/93,New Orleans Pelicans
SG,N. Alexander-Walker,0,"6' 5""",202,2/9/98,New Orleans Pelicans
SF,Josh Hart,3,"6' 5""",213,6/3/95,New Orleans Pelicans
SF,Darius Miller,21,"6' 5""",224,3/21/90,New Orleans Pelicans
SF,Zylan Cheatham,45,"6' 5""",218,11/17/95,New Orleans Pelicans
PF,Brandon Ingram,14,"6' 7""",189,2/9/97,New Orleans Pelicans
PF,Zion Williamson,1,"6' 5""",284,6/7/00,New Orleans Pelicans
PF,Kenrich Williams,34,"6' 5""",209,2/12/94,New Orleans Pelicans
C,Derrick Favors,22,"6' 9""",264,7/15/91,New Orleans Pelicans
C,Jahlil Okafor,9,"6' 9""",273,12/15/95,New Orleans Pelicans
C,Nicolo Melli,20,"6' 9""",233,1/26/91,New Orleans Pelicans
C,Jaxson Hayes,10,"6' 11""",218,5/23/00,New Orleans Pelicans
PG,Elfrid Payton,6,"6' 2""",182,2/22/94,New York Knicks
PG,Frank Ntilikina,11,"6' 3""",189,7/28/98,New York Knicks
PG,Dennis Smith Jr.,5,"6' 2""",194,11/25/97,New York Knicks
PG,Allonzo Trier,14,"6' 3""",198,1/17/96,New York Knicks
PG,Kadeem Allen,0,"6' 0""",198,1/15/93,New York Knicks
SG,RJ Barrett,9,"6' 5""",200,6/14/00,New York Knicks
SG,Wayne Ellington,2,"6' 3""",198,11/29/87,New York Knicks
SG,Damyean Dotson,21,"6' 5""",200,6/5/94,New York Knicks
SF,Maurice Harkless,8,"6' 7""",218,11/5/93,New York Knicks
SF,Reggie Bullock,25,"6' 5""",198,3/16/91,New York Knicks
SF,Ignas Brazdeikis,17,"6' 5""",213,8/1/99,New York Knicks
PF,Kevin Knox,20,"6' 7""",213,11/8/99,New York Knicks
PF,Kenny Wooten,45,"6' 9""",218,4/17/98,New York Knicks
C,Julius Randle,30,"6' 7""",249,11/29/94,New York Knicks
C,Mitchell Robinson,23,"6' 11""",222,1/4/98,New York Knicks
C,Bobby Portis,1,"6' 9""",244,10/2/95,New York Knicks
C,Taj Gibson,67,"6' 9""",224,6/24/85,New York Knicks
PG,Chris Paul,3,"6' 0""",174,6/5/85,Oklahoma City Thunder
PG,Shai Gilgeous-Alexander,2,"6' 5""",180,12/7/98,Oklahoma City Thunder
PG,Dennis Schroder,17,"6' 0""",171,9/15/93,Oklahoma City Thunder
SG,Luguentz Dort,5,"6' 2""",213,4/19/99,Oklahoma City Thunder
SG,Deonte Burton,30,"6' 3""",238,1/31/94,Oklahoma City Thunder
SF,Terrance Ferguson,23,"6' 5""",189,5/17/98,Oklahoma City Thunder
SF,Andre Roberson,21,"6' 7""",209,4/12/91,Oklahoma City Thunder
SF,Hamidou Diallo,6,"6' 5""",200,7/31/98,Oklahoma City Thunder
SF,Abdel Nader,11,"6' 5""",224,9/25/93,Oklahoma City Thunder
SF,Isaiah Roby,22,"6' 7""",229,3/2/98,Oklahoma City Thunder
PF,Danilo Gallinari,8,"6' 9""",231,8/8/88,Oklahoma City Thunder
PF,Darius Bazley,7,"6' 7""",207,12/6/00,Oklahoma City Thunder
PF,Kevin Hervey,15,"6' 9""",229,9/7/96,Oklahoma City Thunder
C,Steven Adams,12,"6' 11""",264,7/20/93,Oklahoma City Thunder
C,Nerlens Noel,9,"6' 9""",218,10/4/94,Oklahoma City Thunder
C,Mike Muscala,33,"6' 9""",238,1/7/91,Oklahoma City Thunder
PG,Markelle Fultz,20,"6' 2""",198,5/29/98,Orlando Magic
PG,D.J. Augustin,14,"5' 10""",182,10/11/87,Orlando Magic
PG,Michael Carter-Williams,7,"6' 5""",189,10/10/91,Orlando Magic
SG,Melvin Frazier,35,"6' 5""",198,8/30/96,Orlando Magic
SF,Evan Fournier,10,"6' 7""",202,10/29/92,Orlando Magic
SF,Terrence Ross,31,"6' 5""",205,5/2/91,Orlando Magic
SF,Wesley Iwundu,25,"6' 5""",194,12/20/94,Orlando Magic
SF,James Ennis,11,"6' 5""",209,1/7/90,Orlando Magic
SF,Vic Law,23,"6' 7""",198,12/19/95,Orlando Magic
SF,B.J. Johnson,13,"6' 7""",198,12/21/95,Orlando Magic
PF,Jonathan Isaac,1,"6' 11""",209,3/10/97,Orlando Magic
PF,Aaron Gordon,0,"6' 7""",218,9/16/95,Orlando Magic
PF,Al-Farouq Aminu,2,"6' 7""",218,9/21/90,Orlando Magic
PF,Gary Clark,12,"6' 5""",224,11/16/94,Orlando Magic
C,Nikola Vucevic,9,"6' 11""",257,10/24/90,Orlando Magic
C,Khem Birch,24,"6' 9""",231,9/28/92,Orlando Magic
